title,company,expreince,location,salary,category,starter
.NET Developer (middle/senior),ООО«UZUM TECHNOLOGIES».,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Руководитель Отдела Продаж Рекламы Международной компании REALTING в разделе «Новостройки»,ОООREALTING CENTRAL ASIA,Опыт 1-3 года,Ташкент,10 274 000 – 20 548 516so'mдо вычета налогов,Sales,True
School consular,ОООMILLAT UMIDI MAKTABI,Опыт 1-3 года,Ташкент,7 000 000 – 10 000 000so'mдо вычета налогов,Other,True
Country Manager (Turkey-Somalia-S. Korea-Uzbekistan),ИПGabazyans Maria,Без опыта,Ташкент,,Project Manager,True
Interior Designer,RAKHAT PROPERTIES L.L.C,Опыт 3-6 лет,Ташкент,,Designer,False
Senior Java Developer,ОООOCTO,Опыт 3-6 лет,Ташкент,,Java Developer,False
Social media manager,Xiaomi,Опыт 3-6 лет,Ташкент,,Project Manager,False
"HSE Engineer in BESS,Wind,Solar Power",ИПООО ENERGY CHINA KASHKADARIA SOLAR POWER,Опыт 3-6 лет,Ташкент,,Engineer,False
Quality Manager (QA/QC),Fersol,Опыт более 6 лет,Ташкент,,QA/Testing,False
"Strategy, budgeting and reporting specialist",АОКомпания по рефинансированию ипотеки Узбекистана,Опыт 1-3 года,Ташкент,,Other,True
Treasury back-office specialist,АОКомпания по рефинансированию ипотеки Узбекистана,Опыт 1-3 года,Ташкент,,Other,True
Менеджер по продажам опалубки,ОООПрофиль-БМ,Опыт 1-3 года,Ташкент,,Sales,True
Project Manager IT,ОООLINKTRADE,Опыт 3-6 лет,Ташкент,12 000 000 – 25 000 000so'mдо вычета налогов,Project Manager,False
Senior Java Developer (Uzum Market),ООО«UZUM TECHNOLOGIES».,Опыт 3-6 лет,Ташкент,,Java Developer,False
Low code разработчик (JavaScript + TypeScript),ООО«UZUM TECHNOLOGIES».,Опыт 1-3 года,Ташкент,,Java Developer,True
Разработчик АБС,InFinBank,Опыт 1-3 года,Ташкент,,Software Engineer (General),True
Product owner,ОООLINKTRADE,Опыт 3-6 лет,Ташкент,25 000 000 – 35 000 000so'mдо вычета налогов,Other,False
Senior PHP разработчик,АОCLICK,Опыт более 6 лет,Ташкент,,PHP,False
Контент-менеджер,ОООLINKTRADE,Опыт 1-3 года,Ташкент,4 000 000 – 5 000 000so'mдо вычета налогов,Other,True
Senior Flutter Developer,ОООKash APP,Опыт 3-6 лет,Ташкент,,Mobile Developer,False
Проджект-менеджер в IT-компанию,NEURO PULSE,Опыт 1-3 года,Ташкент,от500$до вычета налогов,Project Manager,True
DevOps Senior Engineer,Itransition,Опыт 3-6 лет,Ташкент,,DevOps,False
Fullstack Разработчик Node js (Экспаты приветствуются),Citi Fuel (ООО Staff Atlantic),Опыт 1-3 года,Ташкент,2 000 – 3 000$на руки,Software Engineer (General),True
Backend разработчик (Golang & Node.js),ОООTOURISM AND ENTERTAINMENT GROUP,Опыт 1-3 года,Ташкент,,Backend,True
Business analyst,АОSolutions Lab,Опыт 1-3 года,Ташкент,,Data/Analytics,True
Intern in Business Consulting,EY Uzbekistan,Без опыта,Ташкент,,Other,True
ML Engineer NLP (Чат Бот для Службы Поддержки),InFinBank,Опыт 3-6 лет,Ташкент,,Engineer,False
IT Recruiter,Alif Uzbekistan,Опыт 1-3 года,Ташкент,,HR/Recruiter,True
Технический писатель,ООО«UZUM TECHNOLOGIES».,Опыт 1-3 года,Ташкент,,Other,True
PHP Developer (Symfony),Новео,Опыт 1-3 года,Ташкент,,PHP,True
IT Project manager,АОCENTER FOR DIGITAL TECHNOLOGY AND INNOVATION,Опыт 3-6 лет,Ташкент,,Project Manager,False
Junior Backend Developer (PHP/Laravel),Mikrokreditbank,Опыт 1-3 года,Ташкент,,Backend,True
Dynamics 365 Field Service Technical Support (Developer),Itransition,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Специалист по автоматизации отчетности по микрокредитной организации,ОООORIENTSWISS TASHKENT,Опыт 3-6 лет,Ташкент,,Other,False
Metadata Developer,АОPAYME,Опыт 1-3 года,Ташкент,,Software Engineer (General),True
Business Development Manager,ЛАЙФСТРИМ,Опыт 3-6 лет,Ташкент,,Project Manager,False
Speech Therapist,ОООBRITISH MANAGEMENT UNIVERSITY,Без опыта,Ташкент,,Other,True
Аналитик/разработчик АБС,АКБ Тенге Банк,Опыт 1-3 года,Ташкент,,Data/Analytics,True
Программист 1С (Middle+),ОООVENKON,Опыт 3-6 лет,Ташкент,от14 000 000so'mна руки,Software Engineer (General),False
Разработчик 1С с опытом,Первый Бит,Опыт 1-3 года,Ташкент,1 000 – 3 000$на руки,Software Engineer (General),True
Директор магазина,ОООTECHNOLOGY DEVELOPMENT (Ювелирный завод Fonon),Опыт 1-3 года,Ташкент,,Other,True
IT Systems Engineer / IT FSE,FE LLC Huawei Tech Investment Tashkent,Опыт 1-3 года,Ташкент,,Engineer,True
SCADA Operator -Wind,ОООNOMAC SIRDARYA OPERATION AND MAINTENANCE SERVICES LLC,Опыт 3-6 лет,Ташкент,,Other,False
IOS developer Middle/Senior,ООО«UZUM TECHNOLOGIES».,Опыт 3-6 лет,Ташкент,,Mobile Developer,False
Atlassian Product Engineer,Itransition,Опыт 1-3 года,Ташкент,,Engineer,True
Support Engineer / Content Operator,Itransition,Опыт 1-3 года,Ташкент,,Engineer,True
Fullstack-разработчик,ОООUZINFOCOM,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Senior Software Developer,ОООЦентр развития IT- знаний,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Senior in FAAS department,EY Uzbekistan,Опыт 3-6 лет,Ташкент,,Other,False
Legal Counsel,"ИПИП ООО «Coca-Cola Ichimligi Uzbekiston, Ltd»",Опыт 3-6 лет,Ташкент,,Other,False
Business development manager - проектная логистика (СНГ),Advanced People Solutions,Опыт более 6 лет,Ташкент,,Project Manager,False
Разработчик ABAP,ТООAdvantiX group,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Lecturers / Assistant Professors/ Associate Professors in in PR and Media Management Department,ОООCENTRAL ASIAN UNIVERSITY,Опыт 3-6 лет,Ташкент,,Other,False
Senior PHP Laravel,ОООCONSORT TAS,Опыт 3-6 лет,Ташкент,3 000 – 4 000$на руки,PHP,False
Python Developer,ОООЦентр развития IT- знаний,Опыт 1-3 года,Ташкент,,Python,True
Middle/Senior PHP + Vue/React Разработчик,СП ООО Xarid Texnologiyalari,Опыт 1-3 года,Ташкент,,Frontend,True
Intern .NET Developer,Itransition,Без опыта,Ташкент,,Software Engineer (General),True
"Менеджер активных B2B-продаж / Business Development in German company (Logistics, Mobility & IT)",Qemie GmbH,Опыт 1-3 года,Ташкент,1 000 – 5 000€на руки,Sales,True
Intern Front-end Developer,Itransition,Без опыта,Ташкент,,Frontend,True
Frontend-разработчик (Vue),ОООUZINFOCOM,Опыт 3-6 лет,Ташкент,,Frontend,False
Системный аналитик,ОООKash APP,Опыт 1-3 года,Ташкент,,Data/Analytics,True
PR менеджер,ОООTECHNOLOGY DEVELOPMENT (Ювелирный завод Fonon),Опыт 1-3 года,Ташкент,,Other,True
Senior Java backend developer,ОООUNITEL LLC,Опыт 3-6 лет,Ташкент,,Backend,False
Customer Success Specialist,Citi Fuel (ООО Staff Atlantic),Опыт 1-3 года,Ташкент,,Other,True
Junior Cybersecurity Consultant,АОООО «KPMG AUDIT»,Опыт 1-3 года,Ташкент,,IT specialest,True
Senior Specialist in Library Promotions,НОУ Westminster International University in Tashkent,Без опыта,Ташкент,,Other,True
Sales Agent,ОООDYNINNO TAS INTERNATIONAL,Без опыта,Ташкент,,Sales,True
Customer Service Quality Control Specialist,Citi Fuel (ООО Staff Atlantic),Без опыта,Ташкент,,IT specialest,True
Marketing manager,ОООGROUP-IB TSHK,Опыт 3-6 лет,Ташкент,,Marketing,False
Middle Manual QA engineer (Тестировщик),Xalq Banki,Опыт 1-3 года,Ташкент,,QA/Testing,True
Intern PHP Developer,Itransition,Без опыта,Ташкент,,PHP,True
Communications Manager,ОООDYNINNO TAS INTERNATIONAL,Опыт 1-3 года,Ташкент,от12 000 000so'mна руки,Project Manager,True
Консультант SAP,ТООAdvantiX group,Опыт 3-6 лет,Ташкент,,Other,False
PHP Backend (Laravel),ОООЦентр развития IT- знаний,Опыт 3-6 лет,Ташкент,,Backend,False
Consultant in Legal Department,АОООО «KPMG AUDIT»,Опыт 1-3 года,Ташкент,,Other,True
